地域コード,地域,人口
01100,北海道 札幌市,1973395
01202,北海道 函館市,251084
01203,北海道 小樽市,111299
01204,北海道 旭川市,329306
01205,北海道 室蘭市,82383
01206,北海道 釧路市,165077
01207,北海道 帯広市,166536
01208,北海道 北見市,115480
01209,北海道 夕張市,7334
01210,北海道 岩見沢市,79306
01211,北海道 網走市,35759
01212,北海道 留萌市,20114
01213,北海道 苫小牧市,170113
01214,北海道 稚内市,33563
01215,北海道 美唄市,20413
01216,北海道 芦別市,12555
01217,北海道 江別市,121056
01218,北海道 赤平市,9698
01219,北海道 紋別市,21215
01220,北海道 士別市,17858
01221,北海道 名寄市,27282
01222,北海道 三笠市,8040
01223,北海道 根室市,24636
01224,北海道 千歳市,97950
01225,北海道 滝川市,39490
01226,北海道 砂川市,16486
01227,北海道 歌志内市,2989
01228,北海道 深川市,20039
01229,北海道 富良野市,21131
01230,北海道 登別市,46391
01231,北海道 恵庭市,70331
01233,北海道 伊達市,32826
01234,北海道 北広島市,58171
01235,北海道 石狩市,56869
01236,北海道 北斗市,44302
01303,北海道 当別町,15916
01304,北海道 新篠津村,3044
01331,北海道 松前町,6260
01332,北海道 福島町,3794
01333,北海道 知内町,4167
01334,北海道 木古内町,3832
01337,北海道 七飯町,27686
01343,北海道 鹿部町,3760
01345,北海道 森町,14338
01346,北海道 八雲町,15826
01347,北海道 長万部町,5109
01361,北海道 江差町,7428
01362,北海道 上ノ国町,4306
01363,北海道 厚沢部町,3592
01364,北海道 乙部町,3403
01367,北海道 奥尻町,2410
01370,北海道 今金町,5072
01371,北海道 せたな町,7398
01391,北海道 島牧村,1356
01392,北海道 寿都町,2838
01393,北海道 黒松内町,2791
01394,北海道 蘭越町,4568
01395,北海道 ニセコ町,5074
01396,北海道 真狩村,2045
01397,北海道 留寿都村,1911
01398,北海道 喜茂別町,2156
01399,北海道 京極町,2941
01400,北海道 倶知安町,15129
01401,北海道 共和町,5772
01402,北海道 岩内町,11648
01403,北海道 泊村,1569
01404,北海道 神恵内村,870
01405,北海道 積丹町,1831
01406,北海道 古平町,2745
01407,北海道 仁木町,3180
01408,北海道 余市町,18000
01409,北海道 赤井川村,1165
01423,北海道 南幌町,7319
01424,北海道 奈井江町,5120
01425,北海道 上砂川町,2841
01427,北海道 由仁町,4822
01428,北海道 長沼町,10289
01429,北海道 栗山町,11272
01430,北海道 月形町,3691
01431,北海道 浦臼町,1732
01432,北海道 新十津川町,6484
01433,北海道 妹背牛町,2693
01434,北海道 秩父別町,2329
01436,北海道 雨竜町,2389
01437,北海道 北竜町,1724
01438,北海道 沼田町,2909
01452,北海道 鷹栖町,6567
01453,北海道 東神楽町,10127
01454,北海道 当麻町,6319
01455,北海道 比布町,3520
01456,北海道 愛別町,2605
01457,北海道 上川町,3500
01458,北海道 東川町,8314
01459,北海道 美瑛町,9668
01460,北海道 上富良野町,10348
01461,北海道 中富良野町,4733
01462,北海道 南富良野町,2376
01463,北海道 占冠村,1306
01464,北海道 和寒町,3192
01465,北海道 剣淵町,2926
01468,北海道 下川町,3126
01469,北海道 美深町,4145
01470,北海道 音威子府村,706
01471,北海道 中川町,1528
01472,北海道 幌加内町,1370
01481,北海道 増毛町,3908
01482,北海道 小平町,2994
01483,北海道 苫前町,2936
01484,北海道 羽幌町,6548
01485,北海道 初山別村,1080
01486,北海道 遠別町,2520
01487,北海道 天塩町,2950
01511,北海道 猿払村,2611
01512,北海道 浜頓別町,3448
01513,北海道 中頓別町,1637
01514,北海道 枝幸町,7565
01516,北海道 豊富町,3974
01517,北海道 礼文町,2509
01518,北海道 利尻町,2004
01519,北海道 利尻富士町,2458
01520,北海道 幌延町,2371
01543,北海道 美幌町,18697
01544,北海道 津別町,4373
01545,北海道 斜里町,11418
01546,北海道 清里町,3883
01547,北海道 小清水町,4623
01549,北海道 訓子府町,4677
01550,北海道 置戸町,2775
01552,北海道 佐呂間町,4875
01555,北海道 遠軽町,19241
01559,北海道 湧別町,8270
01560,北海道 滝上町,2421
01561,北海道 興部町,3628
01562,北海道 西興部村,1053
01563,北海道 雄武町,4199
01564,北海道 大空町,6775
01571,北海道 豊浦町,3821
01575,北海道 壮瞥町,2743
01578,北海道 白老町,16212
01581,北海道 厚真町,4432
01584,北海道 洞爺湖町,8442
01585,北海道 安平町,7340
01586,北海道 むかわ町,7651
01601,北海道 日高町,11279
01602,北海道 平取町,4776
01604,北海道 新冠町,5309
01607,北海道 浦河町,12074
01608,北海道 様似町,4043
01609,北海道 えりも町,4374
01610,北海道 新ひだか町,21517
01631,北海道 音更町,43576
01632,北海道 士幌町,5848
01633,北海道 上士幌町,4778
01634,北海道 鹿追町,5266
01635,北海道 新得町,5817
01636,北海道 清水町,9094
01637,北海道 芽室町,18048
01638,北海道 中札内村,3884
01639,北海道 更別村,3080
01641,北海道 大樹町,5420
01642,北海道 広尾町,6387
01643,北海道 幕別町,25766
01644,北海道 池田町,6294
01645,北海道 豊頃町,3022
01646,北海道 本別町,6618
01647,北海道 足寄町,6563
01648,北海道 陸別町,2264
01649,北海道 浦幌町,4387
01661,北海道 釧路町,19105
01662,北海道 厚岸町,8892
01663,北海道 浜中町,5507
01664,北海道 標茶町,7230
01665,北海道 弟子屈町,6955
01667,北海道 鶴居村,2558
01668,北海道 白糠町,7289
01691,北海道 別海町,14380
01692,北海道 中標津町,23010
01693,北海道 標津町,5023
01694,北海道 羅臼町,4722
02201,青森県 青森市,275192
02202,青森県 弘前市,168466
02203,青森県 八戸市,223415
02204,青森県 黒石市,31946
02205,青森県 五所川原市,51415
02206,青森県 十和田市,60378
02207,青森県 三沢市,39152
02208,青森県 むつ市,54103
02209,青森県 つがる市,30934
02210,青森県 平川市,30567
02301,青森県 平内町,10126
02303,青森県 今別町,2334
02304,青森県 蓬田村,2540
02307,青森県 外ヶ浜町,5401
02321,青森県 鰺ヶ沢町,9044
02323,青森県 深浦町,7346
02343,青森県 西目屋村,1265
02361,青森県 藤崎町,14573
02362,青森県 大鰐町,8665
02367,青森県 田舎館村,7326
02381,青森県 板柳町,12700
02384,青森県 鶴田町,12074
02387,青森県 中泊町,9657
02401,青森県 野辺地町,12374
02402,青森県 七戸町,14556
02405,青森県 六戸町,10447
02406,青森県 横浜町,4229
02408,青森県 東北町,16428
02411,青森県 六ヶ所村,10367
02412,青森県 おいらせ町,24273
02423,青森県 大間町,4718
02424,青森県 東通村,5955
02425,青森県 風間浦村,1636
02426,青森県 佐井村,1788
02441,青森県 三戸町,9082
02442,青森県 五戸町,16042
02443,青森県 田子町,4968
02445,青森県 南部町,16809
02446,青森県 階上町,13496
02450,青森県 新郷村,2197
03201,岩手県 盛岡市,289731
03202,岩手県 宮古市,50369
03203,岩手県 大船渡市,34728
03205,岩手県 花巻市,93193
03206,岩手県 北上市,93045
03207,岩手県 久慈市,33043
03208,岩手県 遠野市,25366
03209,岩手県 一関市,111932
03210,岩手県 陸前高田市,18262
03211,岩手県 釜石市,32078
03213,岩手県 二戸市,25513
03214,岩手県 八幡平市,24023
03215,岩手県 奥州市,112937
03216,岩手県 滝沢市,55579
